Publication Date,Fiscal Year,Agency Number,Agency Name,Unit Appropriation Number,Unit Appropriation Name,Personal Service/Other Than Personal Service Indicator,Total Financial Plan Amount,Total Adopted Budget Amount,Total Current Budget Amount,Federal Funds Financial Plan Amount,Federal Funds Adopted Budget Amount,Federal Funds Current Budget Amount,State  Funds Financial Plan Amount,State Funds Adopted Budget Amount,State Funds Current Budget Amount ,Inter-Fund Agreement Funds Financial Plan Amount,Inter-Fund Agreement Funds Adopted Budget Amount,Inter-Fund Agreement Funds Current Budget Amount ,Intra-City Sales Funds Financial Plan Amount,Intra-City Sales Funds Adopted Budget Amount,Intra-City Sales Funds Current Budget Amount ,Other Categorical Funds Financial Plan Amount,Other Categorical Funds Adopted Budget Amount,Other Categorical Funds Current Budget Amount ,Community Development Funds Financial Plan Amount ,Community Development Funds Adopted Budget Amount ,Community Development Funds Current Budget Amount ,City Funds Financial Plan Amount,City Funds Adopted Budget Amount,City Funds Current Budget Amount
20220426,2023,015,OFFICE OF THE COMPTROLLER,002,FIRST DEPUTY COMPT-PS,P,40522631,39251456,38848738,0,0,0,0,0,0,8751725,8741561,8751647,0,212854,0,0,0,0,0,0,0,31770906,30297041,30097091
20220426,2023,015,OFFICE OF THE COMPTROLLER,003,SECOND DEPUTY COMPT-PS,P,14622512,15150358,14901921,0,0,0,0,0,0,4479653,4462548,4479497,0,0,0,0,0,0,0,0,0,10142859,10687810,10422424
20220426,2023,015,OFFICE OF THE COMPTROLLER,004,THIRD DEPUTY COMPT-PS,P,17422599,16651018,16598178,0,0,0,0,0,0,0,0,0,0,0,0,9933696,9933696,9933696,0,0,0,7488903,6717322,6664482
20220426,2023,015,OFFICE OF THE COMPTROLLER,005,FIRST DEPUTY COMPT-OTPS,O,13156147,10451221,10416221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13156147,10451221,10416221
20220426,2023,015,OFFICE OF THE COMPTROLLER,006,EXECUTIVE MANAGEMENT-OTPS,O,150916,130916,165916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150916,130916,165916
20220426,2023,015,OFFICE OF THE COMPTROLLER,007,SECOND DEPUTY COMPT-OTPS,O,4217492,4083492,4083492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4217492,4083492,4083492
20220426,2023,015,OFFICE OF THE COMPTROLLER,008,THIRD DEPUTY COMPT-OTPS,O,20355901,18855901,18855901,0,0,0,0,0,0,0,0,0,0,0,0,2594729,2594729,2594729,0,0,0,17761172,16261172,16261172
20220426,2023,002,MAYORALTY,091,MAYOR'S OFFICE OF CONTRACT SERVICES-OTPS,O,35542364,9191068,22576956,0,0,9238848,0,0,0,0,0,0,7500,7500,7500,0,0,0,0,0,0,35534864,9183568,13330608
20220426,2023,002,MAYORALTY,260,OFF FOR PEOPLE WITH DISAB-PS,P,748004,738170,743158,0,0,0,0,0,0,138086,138086,138086,0,0,0,4918,4918,4918,216821,206987,211975,388179,388179,388179
20220426,2023,002,MAYORALTY,261,OFF FOR PEOPLE WITH DISAB-OTPS,O,101341,114125,22975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87841,100625,9475,13500,13500,13500
20220426,2023,002,MAYORALTY,340,COMMUNITY AFFAIRS UNIT-PS,P,2018888,2018888,2019388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018888,2018888,2019388
20220426,2023,002,MAYORALTY,341,COMMUNITY AFFAIRS UNIT-OTPS,O,30000,30000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,30000,30000
20220426,2023,002,MAYORALTY,381,OFFICE OF OPERATIONS-OTPS,O,157435,140000,226711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17435,30000,116711,140000,110000,110000
20220426,2023,002,MAYORALTY,350,COMMISSION ON GENDER EQUITY-PS,P,881217,624695,795710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881217,624695,795710
20220426,2023,002,MAYORALTY,351,COMMISSION ON GENDER EQUITY-OTPS,O,237171,5000,237171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237171,5000,237171
20220426,2023,002,MAYORALTY,380,OFFICE OF OPERATIONS-PS,P,9148138,8634209,8688359,0,0,0,0,0,0,887535,887535,887535,0,0,0,0,0,0,342002,3073023,3073023,7918601,4673651,4727801
20220426,2023,350,MANHATTAN COMMUNITY BOARD #10,003,RENT,O,164081,163001,163001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164081,163001,163001
20220426,2023,002,MAYORALTY,560,SPECIAL ENFORCEMENT-PS,P,865687,865687,865687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865687,865687,865687
20220426,2023,002,MAYORALTY,561,SPECIAL ENFORCEMENT-OTPS,O,28002,28002,28002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28002,28002,28002
20220426,2023,003,BOARD OF ELECTIONS,001,PERSONAL SERVICES,P,61128725,97500000,117812282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61128725,97500000,117812282
20220426,2023,003,BOARD OF ELECTIONS,002,OTHER THAN PERSONAL SERVICES,O,75620046,85315375,114615002,0,0,0,0,0,11307793,0,0,0,0,0,0,0,0,0,0,0,0,75620046,85315375,103307209
20220426,2023,004,CAMPAIGN FINANCE BOARD,001,PERSONAL SERVICES,P,16035901,12510840,12863837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16035901,12510840,12863837
20220426,2023,002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,P,36670297,37639097,35436497,0,2703938,2503938,712,712,7362,2552806,2552806,2552806,1371380,1371380,1371380,21927,21927,334177,0,0,0,32723472,30988334,28666834
20220426,2023,002,MAYORALTY,021,OFFICE OF THE MAYOR-OTPS,O,5329376,4633290,5550196,0,0,293382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5329376,4633290,5256814
20220426,2023,002,MAYORALTY,040,OFFICE OF MGMT AND BUDGET-PS,P,40506489,39660613,41388608,2256328,2684328,3684328,0,0,0,6786376,6657376,6721376,0,0,0,2099178,2099178,2099178,1077944,2920379,4115874,28286663,25299352,24767852
20220426,2023,002,MAYORALTY,041,OFFICE OF MGMT AND BUDGET-OTPS,O,11970796,9782493,11906447,627480,278980,766681,0,0,75000,1219768,1219768,1219768,0,0,3355,524308,524308,524308,560490,560490,618388,9038750,7198947,8698947
20220426,2023,002,MAYORALTY,050,CRIMINAL JUSTICE PROGRAMS PS,P,9486886,6269144,8691560,1488279,204058,2625974,292266,292266,292266,360680,360680,360680,0,0,0,0,0,0,0,0,0,7345661,5412140,5412640
20220426,2023,002,MAYORALTY,051,CRIMINAL JUSTICE PROGRAMS OTPS,O,3371315,3371315,5388422,0,0,0,0,0,2017107,0,0,0,0,0,0,0,0,0,3246015,3246015,3246015,125300,125300,125300
20220426,2023,002,MAYORALTY,061,OFF OF LABOR RELATIONS-PS,P,15055412,13932169,13645141,0,41181,41181,0,0,0,0,0,0,75749,75749,75749,3002732,2988508,3002264,0,0,0,11976931,10826731,10525947
20220426,2023,002,MAYORALTY,062,OFF OF LABOR RELATIONS-OTPS,O,6998665,6216515,6443530,0,0,0,0,0,0,0,0,0,0,0,0,1019923,324000,663079,0,0,0,5978742,5892515,5780451
20220426,2023,002,MAYORALTY,070,NYC COMM TO THE UN-PS,P,1263096,1263096,1263096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263096,1263096,1263096
20220426,2023,017,DEPARTMENT OF EMERGENCY MANAGEMENT,001,PERSONAL SERVICES,P,26622590,21731208,28561000,15402766,15179069,19355807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11219824,6552139,9205193
20220426,2023,017,DEPARTMENT OF EMERGENCY MANAGEMENT,002,OTHER THAN PERSONAL SERVICES,O,33935584,32490678,752879977,6412389,9483050,708047206,0,0,0,0,0,0,0,0,1680195,0,0,61617,0,0,0,27523195,23007628,43090959
20220426,2023,021,OFFICE OF ADMINISTRATIVE TAX APPEALS,001,PERSONAL SERVICES,P,5672276,5661745,5673542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5672276,5661745,5673542
20220426,2023,021,OFFICE OF ADMINISTRATIVE TAX APPEALS,002,OTHER THAN PERSONAL SERVICE,O,312647,312647,312647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312647,312647,312647
20220426,2023,025,LAW DEPARTMENT,001,PERSONAL SERVICES,P,163861347,167546074,157744718,0,2619356,2619356,0,0,0,4065360,4065360,4065360,3660389,3660389,3983630,417024,417024,467024,0,7712,7712,155718574,156776233,146601636
20220426,2023,025,LAW DEPARTMENT,002,OTHER THAN PERSONAL SERVICES,O,116089599,122336930,123730055,0,0,0,0,0,75000,0,0,0,313155,313155,3756280,0,0,150000,0,0,0,115776444,122023775,119748775
20220426,2023,030,DEPARTMENT OF CITY PLANNING,001,PERSONAL SERVICES,P,28714449,28187499,28015351,1311530,1311530,1724620,0,0,85658,0,0,0,0,0,0,0,0,0,10147257,11606155,11616292,17255662,15269814,14588781
20220426,2023,030,DEPARTMENT OF CITY PLANNING,002,OTHER THAN PERSONAL SERVICES,O,17003839,14037147,14883919,31321,31321,82750,0,0,381702,0,0,0,0,0,0,0,0,0,286226,2633335,2794443,16686292,11372491,11625024
20220426,2023,030,DEPARTMENT OF CITY PLANNING,003,GEOGRAPHIC SYSTEMS,P,2247202,2441085,2441085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247202,2441085,2441085,0,0,0
20220426,2023,030,DEPARTMENT OF CITY PLANNING,004,GEOGRAPHIC SYSTEMS,O,297688,297688,297688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297688,297688,297688,0,0,0
20220426,2023,032,DEPARTMENT OF INVESTIGATION,001,PERSONAL SERVICES,P,23646227,25012311,23674080,0,600000,688746,0,0,0,0,0,0,51868,51868,51868,397000,397000,397000,0,0,0,23197359,23963443,22536466
20220426,2023,032,DEPARTMENT OF INVESTIGATION,002,OTHER THAN PERSONAL SERVICES,O,21366531,23397648,29678996,750000,626031,6541586,0,0,112500,0,0,0,1779227,1779227,1779227,3000,3000,29591,0,0,471702,18834304,20989390,20744390
20220426,2023,032,DEPARTMENT OF INVESTIGATION,003,INSPECTOR GENERAL-PS,P,4363388,4363388,6127388,0,0,0,0,0,0,0,0,0,3357960,3357960,5121460,199496,199496,199496,0,0,0,805932,805932,806432
20220426,2023,032,DEPARTMENT OF INVESTIGATION,004,INSPECTOR GENERAL-OTPS,O,381450,381450,463150,0,0,0,0,0,0,0,0,0,376450,376450,458150,5000,5000,5000,0,0,0,0,0,0
20220426,2023,035,NEW YORK RESEARCH LIBRARIES,001,LUMP SUM APPROPRIATION,O,30558505,31495946,30550946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30558505,31495946,30550946
20220426,2023,037,NEW YORK PUBLIC LIBRARY,003,LUMP SUM-BORO OF MANHATTAN,O,25804635,25696524,25696524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25804635,25696524,25696524
20220426,2023,037,NEW YORK PUBLIC LIBRARY,004,LUMP SUM- BORO OF BRONX,O,24252943,24183793,24183793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24252943,24183793,24183793
20220426,2023,037,NEW YORK PUBLIC LIBRARY,005,LUMP SUM-BORO OF STATEN ISL,O,10970380,10818482,10818482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10970380,10818482,10818482
20220426,2023,037,NEW YORK PUBLIC LIBRARY,006,SYSTEMWIDE SERVICES,O,91094145,96612858,97214956,0,0,0,0,0,0,0,0,0,0,0,5063254,0,0,85980,0,0,0,91094145,96612858,92065722
20220426,2023,037,NEW YORK PUBLIC LIBRARY,007,CONSULTANT & ADVISORY SVCS,O,1362128,1362128,1362128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362128,1362128,1362128
20220426,2023,038,BROOKLYN PUBLIC LIBRARY,001,LUMP SUM,O,115168356,118371566,116838574,0,0,0,0,0,0,0,0,0,0,0,1109950,0,0,26717,0,0,0,115168356,118371566,115701907
20220426,2023,039,QUEENS BOROUGH PUBLIC LIBRARY,001,LUMP SUM,O,119873473,123404208,121216574,0,0,23775,0,0,0,0,0,0,0,0,713561,0,0,0,0,0,0,119873473,123404208,120479238
20220426,2023,040,DEPARTMENT OF EDUCATION,401,GE INSTR & SCH LEADERSHIP - PS,P,6986319145,7232267257,7293497971,174546900,277425567,577425567,3469824150,3403662752,3403662752,0,0,0,0,0,0,0,0,0,0,0,0,3341948095,3551178938,3312409652
20220426,2023,040,DEPARTMENT OF EDUCATION,402,GE INSTR & SCH LEADERSHIP - OTPS,O,656640088,738137714,856119132,8310263,8310263,8310263,395945703,400339541,500398356,0,0,0,0,0,0,0,0,0,0,0,0,252384122,329487910,347410513
20220426,2023,040,DEPARTMENT OF EDUCATION,403,SE INSTR & SCH LEADERSHIP - PS,P,2577056176,2370171128,2351957269,17000000,17000000,17000000,1599350960,1465269342,1464769342,0,0,0,0,0,0,0,0,0,0,0,0,960705216,887901786,870187927
20220426,2023,040,DEPARTMENT OF EDUCATION,404,SE INSTR & SCH LEADERSHIP -OTPS,O,9824931,5624931,9456177,0,0,0,3593719,3593719,6093719,0,0,0,0,0,0,0,0,0,0,0,0,6231212,2031212,3362458
20220426,2023,040,DEPARTMENT OF EDUCATION,406,CHARTER SCHOOLS,O,2957677107,2740363133,2904850265,6500000,281500000,181934606,1553167520,1342517147,1477004279,0,0,0,0,0,0,0,0,0,0,0,0,1398009587,1116345986,1245911380
20220426,2023,040,DEPARTMENT OF EDUCATION,407,UNIVERSAL PRE-K - PS,P,763582117,693837348,700715056,178871987,131068333,131068333,320160673,320160673,320160673,0,0,0,0,0,0,0,0,0,0,0,0,264549457,242608342,249486050
20220426,2023,040,DEPARTMENT OF EDUCATION,408,UNIVERSAL PRE-K - OTPS,O,869260172,785659597,785659597,318925844,261599269,261599269,256151506,256151506,256151506,0,0,0,0,0,0,0,0,0,0,0,0,294182822,267908822,267908822
20220426,2023,040,DEPARTMENT OF EDUCATION,409,EARLY CHILDHOOD PROGRAMS- PS,P,91042666,90850232,80576776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91042666,90850232,80576776
20220426,2023,040,DEPARTMENT OF EDUCATION,410,EARLY CHILDHOOD PROGRAMS - OTPS,O,442664317,502671112,504466112,195726850,256623145,256623145,10404369,10404369,10404369,0,0,0,0,0,0,0,0,0,2963000,2963000,2963000,233570098,232680598,234475598
20220426,2023,040,DEPARTMENT OF EDUCATION,415,SCHOOL SUPPORT ORGANIZATION,P,268939772,271017566,258471479,0,0,0,106748579,106748579,161748579,0,0,0,0,0,0,0,0,0,0,0,0,162191193,164268987,96722900
20220426,2023,040,DEPARTMENT OF EDUCATION,416,SCHOOL SUPPORT ORGANIZATION OTPS,O,20808636,26808636,23308636,0,0,0,11264533,11264533,11264533,0,0,0,0,0,0,0,0,0,0,0,0,9544103,15544103,12044103
20220426,2023,040,DEPARTMENT OF EDUCATION,421,CW SE INSTR & SCHL LEADERSHIP - PS,P,1402593812,1309090777,1347724357,25000000,25000000,25000000,320645549,227480951,226980951,0,0,0,0,0,0,4000000,4000000,4000000,0,0,0,1052948263,1052609826,1091743406
20220426,2023,040,DEPARTMENT OF EDUCATION,422,CW SE INSTR & SCHL LEADERSHIP - OTPS,O,23543122,23543122,25220278,0,0,0,9950920,9950920,10450920,0,0,0,0,0,0,0,0,0,0,0,0,13592202,13592202,14769358
20220426,2023,040,DEPARTMENT OF EDUCATION,423,SE INSTRUCTIONAL SUPPORT - PS,P,432308821,404645805,394765508,35278130,35278130,35278130,180864361,153239441,153239441,0,0,0,0,0,0,0,0,0,0,0,0,216166330,216128234,206247937
20220426,2023,040,DEPARTMENT OF EDUCATION,424,SE INSTRUCTIONAL SUPPORT -  OTPS,O,303120385,303120385,303120385,44721870,44721870,44721870,109519919,109519919,109519919,0,0,0,0,0,0,682030,682030,682030,0,0,0,148196566,148196566,148196566
20220426,2023,040,DEPARTMENT OF EDUCATION,435,SCHOOL FACILITIES - PS,P,179835506,181122598,179739741,0,0,0,34095008,34095008,34095008,0,0,0,0,0,1867084,0,0,0,0,0,0,145740498,147027590,143777649
20220426,2023,040,DEPARTMENT OF EDUCATION,436,SCHOOL FACILITIES - OTPS,O,943420376,1089292111,1129868616,179731807,745087796,831885457,132344253,132344253,132344253,0,0,0,672767,16272767,47292593,68489930,68489930,68489930,5848958,5848958,22351163,556332661,121248407,27505220
20220426,2023,040,DEPARTMENT OF EDUCATION,438,PUPIL TRANSPORTATION - OTPS,O,1630362012,1517231721,1676676387,0,0,0,965326703,861650686,945233766,0,0,0,0,0,0,300000,300000,300000,0,0,0,664735309,655281035,731142621
20220426,2023,040,DEPARTMENT OF EDUCATION,439,SCHOOL FOOD SERVICES - PS,P,234951885,234947461,234951885,218580768,226990419,226990419,16366693,7948559,7948559,0,0,0,0,0,0,0,0,0,0,0,0,4424,8483,12907
20220426,2023,040,DEPARTMENT OF EDUCATION,440,SCHOOL FOOD SERVICES - OTPS,O,295285760,295285760,303623622,286714308,278304657,278304657,8571452,16981103,16981103,0,0,0,0,0,0,0,0,0,0,0,8337862,0,0,0
20220426,2023,040,DEPARTMENT OF EDUCATION,442,SCHOOL SAFETY - OTPS,O,389445252,424933194,385802089,0,0,0,9530000,10530000,10530000,0,0,0,0,0,0,0,0,0,0,0,0,379915252,414403194,375272089
20220426,2023,040,DEPARTMENT OF EDUCATION,444,ENERGY AND LEASES - OTPS,O,652842965,694843749,707007936,0,0,0,71945318,71945318,71945318,0,0,0,0,0,0,0,0,0,0,0,0,580897647,622898431,635062618
20220426,2023,040,DEPARTMENT OF EDUCATION,453,CENTRAL ADMINISTRATION - PS,P,173632263,190860900,180385579,3191944,3191944,3191944,16123354,16123354,16123354,0,0,0,0,0,0,6433708,6433708,6433708,0,0,0,147883257,165111894,154636573
20220426,2023,040,DEPARTMENT OF EDUCATION,454,CENTRAL ADMINISTRATION - OTPS,O,117163744,117533028,163210933,31252556,31252556,31252556,39648012,39648012,39648012,0,0,0,0,0,0,9302,9302,9302,0,0,0,46253874,46623158,92301063
20220426,2023,040,DEPARTMENT OF EDUCATION,461,FRINGE BENEFITS - PS,P,3879993876,3917891150,3802552718,0,32149590,32149590,799559776,938626908,938626908,0,0,0,0,0,0,33464191,33464191,33464191,0,0,0,3046969909,2913650461,2798312029
20220426,2023,040,DEPARTMENT OF EDUCATION,470,SE PRE-K CONTRACT PMTS - OTPS,O,929191955,882706411,882706411,46485544,0,0,806736496,806736496,806736496,0,0,0,0,0,0,317970,317970,317970,0,0,0,75651945,75651945,75651945
20220426,2023,040,DEPARTMENT OF EDUCATION,472,CONTRACT SCHOOLS/FOSTER/CH 683 PMTS,O,909926966,1129926966,1129926966,0,0,0,659763953,659763953,659763953,0,0,0,0,0,0,0,0,0,0,0,0,250163013,470163013,470163013
20220426,2023,040,DEPARTMENT OF EDUCATION,474,NPS & FIT PMTS - OTPS,O,114758907,95718600,119780024,0,0,0,58595479,38891200,62617228,0,0,0,0,0,335396,0,0,0,0,0,0,56163428,56827400,56827400
20220426,2023,040,DEPARTMENT OF EDUCATION,481,CATEGORICAL PROGRAMS - PS,P,1465205493,1764842466,1705608456,1156522798,1454808504,1470495508,242352639,243765843,148765843,0,0,0,88847,88847,4524913,19678560,19678560,19683560,1596145,1696145,1696145,44966504,44804567,60442487
20220426,2023,040,DEPARTMENT OF EDUCATION,482,CATEGORICAL PROGRAMS - OTPS,O,1231543000,1530465856,1729172398,913175458,1221404854,1303771675,279129061,269822497,308683768,0,0,0,9217041,9217041,20346164,30021440,30021440,36128276,0,0,60242491,0,24,24
20220426,2023,042,CITY UNIVERSITY OF NEW YORK,001,COMMUNITY COLLEGE-OTPS,O,429343659,501304041,596069005,77119037,165707496,168346746,68061625,69541592,69541592,0,0,0,46380581,24809678,117310363,4492000,4492000,2753358,0,0,0,233290416,236753275,238116946
20220426,2023,042,CITY UNIVERSITY OF NEW YORK,002,COMMUNITY COLLEGE PS,P,920372721,857111196,850986304,0,0,0,171248275,171248275,171248275,0,0,0,0,0,130000,9574593,9574593,11313235,0,0,0,739549853,676288328,668294794
20220426,2023,042,CITY UNIVERSITY OF NEW YORK,003,HUNTER SCHOOLS-OTPS,O,1376422,1403139,3923139,0,0,2520000,100000,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,1276422,1303139,1303139
20220426,2023,042,CITY UNIVERSITY OF NEW YORK,004,HUNTER SCHOOLS-PS,P,19019154,18484691,18852964,0,0,0,1700000,1700000,1700000,0,0,0,0,0,0,10170,10170,10170,0,0,0,17308984,16774521,17142794
20220426,2023,042,CITY UNIVERSITY OF NEW YORK,012,SENIOR COLLEGE OTPS,O,35000000,35000000,35000000,0,0,0,35000000,35000000,35000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220426,2023,054,CIVILIAN COMPLAINT REVIEW BOARD,001,CCRB-PS,P,18952284,19625670,18955972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18952284,19625670,18955972
20220426,2023,054,CIVILIAN COMPLAINT REVIEW BOARD,002,CCRB-OTPS,O,4595693,5153714,5153714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4595693,5153714,5153714
20220426,2023,056,POLICE DEPARTMENT,001,OPERATIONS,P,3275077462,3210141607,3161202922,11764674,11764674,516682363,644464,644464,944129,0,0,0,0,0,208266,0,0,2237706,0,0,0,3262668324,3197732469,2641130458
20220426,2023,056,POLICE DEPARTMENT,002,EXECUTIVE MANAGEMENT,P,527910039,499217445,509625023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527910039,499217445,509625023
20220426,2023,056,POLICE DEPARTMENT,003,SCHOOL SAFETY- P.S.,P,301938342,325260841,288312280,0,0,0,0,0,0,0,0,0,277586113,300986984,264035923,0,0,0,0,0,0,24352229,24273857,24276357
20220426,2023,056,POLICE DEPARTMENT,004,ADMINISTRATION-PERSONNEL,P,278658265,272694769,275671669,0,0,0,0,0,0,0,0,0,0,0,791504,0,0,0,0,0,0,278658265,272694769,274880165
20220426,2023,056,POLICE DEPARTMENT,006,CRIMINAL JUSTICE,P,61428937,60188314,60261225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61428937,60188314,60261225
20220426,2023,056,POLICE DEPARTMENT,007,TRAFFIC ENFORCEMENT,P,169346291,169026937,181522782,0,0,0,0,0,2371872,0,0,0,0,0,0,0,0,9966409,0,0,0,169346291,169026937,169184501
20220426,2023,056,POLICE DEPARTMENT,008,TRANSIT POLICE-PS,P,249542038,247017902,248964503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1712601,0,0,0,249542038,247017902,247251902
